Datum,we1_meter,we2_meter,general_meter,pv_meter,sum_meter
2025-08-04 14:48:08,22.457,2.57,73.253,0.0,98.28
2025-08-04 15:03:07,22.483,2.57,73.27,0.42731299633302033,97.89568700366698
2025-08-04 15:18:07,22.51,2.57,73.286,1.2765652801373977,97.0894347198626
2025-08-04 15:33:07,22.519,2.57,,2.537077011196639,95.83792298880336
2025-08-04 15:33:08,,,73.303,4.192996523126734,94.19900347687326
2025-08-04 15:48:07,22.536,2.57,,6.223499667278279,92.18550033272172
2025-08-04 15:48:08,,,73.32,8.603051688488204,89.82294831151178
2025-08-04 16:03:07,22.563,2.571,73.336,11.301728339441551,87.16827166055845
2025-08-04 16:23:07,22.585,2.571,73.358,14.285592195443918,84.2284078045561
2025-08-04 16:32:53,22.595,2.571,,17.51711943722794,81.00688056277207
2025-08-04 16:41:18,,,73.378,20.9556717347524,77.5883282652476
2025-08-04 16:48:39,22.625,2.571,,24.558007297781415,74.01599270221858
2025-08-04 16:48:40,,,73.387,28.27882466648612,70.30417533351388
2025-08-04 17:02:19,22.641,,73.402,32.071332403586524,66.54266759641348
2025-08-04 17:02:20,,2.571,,35.88783752382435,62.72616247617565
2025-08-04 17:17:02,22.651,,73.428,39.68034526092476,58.969654739075246
2025-08-04 17:17:03,,2.571,,43.40116262962947,55.24883737037054
2025-08-04 17:33:07,22.691,2.571,73.452,47.00349819265848,51.710501807341515
2025-08-04 17:48:07,22.715,2.571,73.475,50.44205049018294,48.31894950981705
2025-08-04 18:03:07,,2.571,,53.673577731966965,45.08742226803303
2025-08-04 18:18:06,22.743,2.572,73.52,56.65744158796933,42.17755841203066
2025-08-04 18:33:06,22.771,2.572,73.544,59.356118238922676,39.530881761077325
2025-08-04 18:48:06,22.787,2.572,73.561,61.7356702601326,37.1843297398674
2025-08-04 19:03:07,22.797,2.572,,63.766173404284146,35.16382659571586
2025-08-04 19:03:08,,,73.578,65.42209291621424,33.52490708378576
2025-08-04 19:18:06,22.822,2.572,73.594,66.68260464727348,32.30539535272652
2025-08-04 19:33:07,22.849,2.572,73.611,67.53185693107785,31.500143068922156
2025-08-04 19:48:07,22.88,2.572,,67.95916992741087,31.103830072589133
2025-08-04 19:53:07,,,73.649,67.95916992741087,31.14183007258913
2025-08-04 20:03:06,22.915,2.572,73.659,67.95916992741087,31.18683007258913
2025-08-04 20:18:07,22.935,2.573,73.674,67.95916992741087,31.222830072589133
2025-08-04 20:33:07,22.974,2.577,74.094,67.95916992741087,31.685830072589127
2025-08-04 20:48:06,23.005,2.583,76.56,67.95916992741087,34.18883007258913
2025-08-04 21:03:07,23.04,2.589,78.987,67.95916992741087,36.656830072589116
2025-08-04 21:18:06,23.067,2.594,81.405,67.95916992741087,39.10683007258913
2025-08-04 21:33:06,23.095,2.601,83.811,67.95916992741087,41.547830072589136
2025-08-04 21:48:07,23.211,2.601,,67.95916992741087,41.663830072589136
2025-08-04 21:48:08,,,83.881,67.95916992741087,41.73383007258913
2025-08-04 22:03:06,23.246,2.601,83.912,67.95916992741087,41.79983007258913
2025-08-04 22:18:07,23.281,2.602,83.928,67.95916992741087,41.851830072589124
2025-08-04 22:33:07,23.313,2.602,83.956,67.95916992741087,41.91183007258914
2025-08-04 22:48:07,23.339,2.602,83.971,67.95916992741087,41.95283007258914
2025-08-04 23:03:06,,2.602,83.985,67.95916992741087,41.96683007258913
2025-08-04 23:03:07,23.365,,,67.95916992741087,41.99283007258913
2025-08-04 23:18:06,23.383,2.602,84.0,67.95916992741087,42.02583007258913
2025-08-04 23:33:05,23.408,2.602,84.014,67.95916992741087,42.06483007258913
2025-08-04 23:48:05,23.438,2.602,84.028,67.95916992741087,42.10883007258914
2025-08-05 00:03:06,23.466,2.602,,67.95916992741087,42.136830072589134
2025-08-05 00:03:07,,,84.041,67.95916992741087,42.149830072589126
2025-08-05 00:18:06,23.486,2.602,84.053,67.95916992741087,42.18183007258912
2025-08-05 00:33:06,23.498,2.603,84.066,67.95916992741087,42.20783007258913
2025-08-05 00:48:07,23.527,2.603,84.079,67.95916992741087,42.249830072589134
2025-08-05 01:03:06,23.556,2.603,84.092,67.95916992741087,42.291830072589136
2025-08-05 01:18:06,23.576,2.603,84.105,67.95916992741087,42.32483007258914
2025-08-05 01:33:06,23.587,2.603,84.117,67.95916992741087,42.34783007258913
2025-08-05 01:48:06,23.612,,84.13,67.95916992741087,42.38583007258913
2025-08-05 01:48:07,,2.603,,67.95916992741087,42.38583007258913
2025-08-05 02:03:06,23.639,2.603,84.143,67.95916992741087,42.425830072589136
2025-08-05 02:18:06,23.655,2.603,84.156,67.95916992741087,42.45483007258915
2025-08-05 02:33:06,23.665,2.603,84.169,67.95916992741087,42.47783007258913
2025-08-05 02:48:06,23.693,2.604,84.181,67.95916992741087,42.518830072589125
2025-08-05 03:03:05,23.72,2.604,84.195,67.95916992741087,42.55983007258912
2025-08-05 03:18:05,23.735,2.604,84.21,67.95916992741087,42.58983007258912
2025-08-05 03:33:06,23.746,2.604,84.225,67.95916992741087,42.61583007258912
2025-08-05 03:48:05,23.774,2.604,84.24,67.95916992741087,42.658830072589126
2025-08-05 04:03:06,23.801,2.604,84.265,67.95916992741087,42.71083007258913
2025-08-05 04:18:06,23.813,2.604,84.285,67.95916992741087,42.74283007258913
2025-08-05 04:33:06,23.824,2.604,84.3,67.95916992741087,42.768830072589125
2025-08-05 04:48:05,23.851,2.604,84.315,67.95916992741087,42.81083007258913
2025-08-05 05:03:06,,,84.33,67.95916992741087,42.82583007258913
2025-08-05 05:18:05,,,84.345,67.95916992741087,42.84083007258913
2025-08-05 05:18:07,23.893,,,67.95916992741087,42.88283007258913
2025-08-05 05:28:06,,2.605,,67.95916992741087,42.883830072589134
2025-08-05 05:33:05,23.901,,84.36,67.95916992741087,42.90683007258913
2025-08-05 05:48:05,23.927,2.605,84.376,67.95916992741087,42.94883007258913
2025-08-05 06:03:07,23.954,2.605,84.393,67.95916992741087,42.99283007258913
2025-08-05 06:18:07,24.054,2.605,84.409,68.01531594106244,43.05268405893757
2025-08-05 06:33:07,24.072,2.605,84.426,68.1275120438431,42.97548795615691
2025-08-05 06:48:07,24.112,2.605,84.445,68.29556655059326,42.86643344940673
2025-08-05 07:03:07,24.137,2.605,,68.51919234300722,42.66780765699278
2025-08-05 07:03:08,,,84.467,68.79800736016986,42.41099263983014
2025-08-05 07:18:06,,2.606,,69.13153525130137,42.078464748698636
2025-08-05 07:18:07,24.16,,84.489,69.51920618959454,41.735793810405454
2025-08-05 07:33:07,24.185,2.606,84.516,69.96035784575434,41.34664215424566
